Full Name,Mobile No.,Aadhaar No.,DOB,Gender
Akarsh Malhotra,7359823554,626001655154,1982-06-05,Male
Ivana Dalal,2784920632,529367580125,1991-01-20,Female
Mohanlal Subramanian,8988378740,558991907825,1958-11-09,Other-
Mamooty Mani,1753820565,187543412933,1968-07-12,Male
Riaan Shankar,5084979981,211613415882,1959-07-14,Other
Ivan Varghese,3769643669,444587461671,1971-03-22,Female
Piya Goda,8865939370,908834037871,2005-07-08,Other
Raghav Chakrabarti,7185410954,959088169261,2004-12-25,Other
Sana Sastry,6683557078,803047739586,2000-11-10,Other
Emir Dugar,1815700732,723419825033,1959-03-24,Female
Divyansh Ghose,0055927532,027151222610,1970-06-02,Male
Riaan Kalla,5349852437,160194324140,2002-10-25,Female
Romil Banerjee,3585206232,600936031698,1966-03-15,Female
Yashvi Sekhon,5445605332,731587982839,1979-01-04,Female
Sahil Dara,1399302883,240233407367,1984-05-12,Other
Nirvaan Khatri,1288575292,356237234422,1973-06-27,Other
Piya Dutt,6709171891,464507693957,1981-08-10,Male
Aarush Malhotra,8885854667,366552108813,1979-04-10,Male
Vivaan Dayal,3281973607,298983590299,1947-05-15,Male
Stuvan Sinha,3487060196,941102348405,1991-02-08,Other
Eva Gopal,5513743907,643217449783,1974-07-05,Female
Inaaya  Bhatnagar,5354419941,004762854732,1981-02-12,Female
Tanya Barad,2548550527,564350717827,1956-06-13,Male
Taimur Agarwal,7834196682,764131368085,1981-06-13,Male
Advik Ghose,0696146593,164892451009,1993-01-26,Female
Ahana  Badal,2102771384,655854362366,1956-12-01,Female
Ivan Sarkar,1460897028,104806129111,2007-03-18,Other
Mohanlal Jaggi,6213795495,881506174460,1947-07-14,Other
Kismat Kalita,2092858405,199060208892,1998-12-09,Other
Rati Seth,4824967188,221649535700,1976-03-11,Female
Neelofar Bali,1307642337,724209772571,1977-02-22,Male
Lakshit Kara,9084267447,249622360826,1989-08-05,Male
Kiara Wagle,2413870693,553465401303,1987-03-08,Female
Parinaaz Saran,0906375017,123571118047,1946-04-05,Female
Amira Tella,6612043563,480736116732,1989-02-15,Male
Rasha Garde,1941753129,389010912082,1957-08-09,Other
Aayush Ramakrishnan,4441040222,935780090744,1962-02-27,Male
Ishita Kakar,6583807720,440328896453,1970-10-18,Male
Hridaan Banerjee,3325740916,775721120049,1993-09-29,Other
Shaan Khalsa,3237157128,729406415275,1974-09-27,Other
Aradhya Guha,2321880813,450765413255,1999-08-07,Male
Vardaniya Iyer,2249754762,022747283645,1963-08-13,Other
Sahil Dube,2507099549,342968380253,1995-04-04,Other
Anahi Bhatti,8112207362,420535033038,1989-08-13,Male
Krish Ramanathan,7441752670,640082346864,1976-11-08,Other
Nakul Tella,0950806132,022477061277,1985-03-06,Other
Zain Aggarwal,2956470623,451251560936,1978-08-05,Male
Mishti Kibe,1614433171,191782044928,1966-07-30,Other
Krish Sekhon,6400092150,007801248826,2005-10-06,Other
Vidur Goel,4886519719,473003599414,1988-07-12,Female
Jivin Majumdar,6797593808,535128424495,1977-08-12,Male
Shalv Sahota,3256222891,504788740295,1994-01-27,Female
Romil Kakar,5389587563,210866007290,2005-09-02,Male
Lakshit Lala,1888524243,782462878661,1977-08-23,Female
Shamik Handa,2613963263,870304678604,1995-07-12,Male
Zoya Kapoor,7348338414,005685703848,1999-10-13,Female
Arnav Balay,9642523608,826390877077,1976-11-20,Other
Veer Handa,4380221696,987157628609,1998-03-06,Other
Mohanlal Bahl,6282310344,768558064695,1978-02-10,Male
Anahi Sundaram,4354554524,996710983593,1988-09-06,Male
